txn_id,merchant_id,amount,method,captured_at,capture_delay_manual,chargeback
t001,m01,120.00,card,2026-07-01T09:14:00Z,false,0
t002,m02,55.50,ach,2026-07-01T11:02:00Z,false,0
t003,m01,300.00,card,2026-07-02T14:20:00Z,true,150.00
t004,m03,42.00,wallet,2026-07-02T16:45:00Z,false,0
t005,m02,89.99,card,2026-07-03T08:30:00Z,false,0
t006,m04,500.00,card,2026-07-03T10:05:00Z,false,250.00
t007,m01,75.00,ach,2026-07-04T12:00:00Z,false,0
t008,m03,210.00,card,2026-07-04T13:37:00Z,true,0
t009,m02,64.25,wallet,2026-07-05T09:50:00Z,false,0
t010,m04,180.00,card,2026-07-05T15:12:00Z,false,0
t011,m01,95.00,card,2026-07-06T11:11:00Z,false,0
t012,m03,410.00,card,2026-07-06T17:00:00Z,false,200.00
t013,m02,33.00,ach,2026-07-07T08:05:00Z,false,0
t014,m04,270.00,wallet,2026-07-07T14:40:00Z,false,0
t015,m01,150.00,card,2026-07-08T09:25:00Z,true,0
t016,m02,88.00,card,2026-07-08T12:55:00Z,false,150.00
t017,m03,125.00,ach,2026-07-09T10:30:00Z,false,0
t018,m04,600.00,card,2026-07-09T16:18:00Z,false,500.00
t019,m01,49.99,wallet,2026-07-10T09:00:00Z,false,0
t020,m02,205.00,card,2026-07-10T13:45:00Z,true,0
